date,open,high,low,close,volume
2020-08-28,65.0,69.8,58.92,58.93,191111.0
2020-08-31,59.8,59.9,52.22,54.95,109751.0
2020-09-01,54.7,62.5,54.7,60.62,103610.0
2020-09-02,59.1,68.88,59.06,66.9,108253.0
2020-09-03,69.0,80.6,68.1,77.84,88017.0
2020-09-04,75.02,80.0,71.9,79.4,44077.0
2020-09-07,79.99,86.8,75.06,78.0,55189.0
2020-09-08,75.1,79.5,70.0,77.19,36924.0
2020-09-09,74.98,75.22,71.07,72.0,18988.0
2020-09-10,73.0,76.67,70.1,71.89,17663.0
2020-09-11,70.22,75.8,68.88,73.91,15668.0
2020-09-14,74.51,78.78,73.45,74.73,18889.0
2020-09-15,74.6,86.36,73.98,86.11,28187.0
2020-09-16,83.73,84.7,79.5,81.11,25989.0
2020-09-17,80.77,83.02,78.33,78.36,17442.0
2020-09-18,77.82,79.78,75.0,78.4,16028.0
2020-09-21,77.4,83.87,76.58,79.29,20883.0
2020-09-22,77.79,78.27,73.75,76.67,19499.0
2020-09-23,76.1,79.27,75.29,75.8,9611.0
2020-09-24,75.8,78.49,74.5,74.5,11343.0
2020-09-25,74.62,75.46,70.05,70.2,13074.0
2020-09-28,70.01,71.39,68.06,69.86,8666.0
2020-09-29,70.39,74.76,69.35,72.72,7653.0
2020-09-30,72.59,74.8,71.11,74.35,5960.0
2020-10-09,76.1,76.1,73.13,75.24,9096.0
2020-10-12,76.0,80.5,75.2,78.95,11672.0
2020-10-13,78.22,84.49,77.53,83.98,10047.0
2020-10-14,82.61,83.78,80.55,81.99,9751.0
2020-10-15,82.21,88.63,81.23,85.5,14835.0
2020-10-16,85.43,88.14,82.0,83.18,12074.0
2020-10-19,81.28,83.0,78.48,79.78,8282.0
2020-10-20,79.38,81.45,78.33,79.75,6391.0
2020-10-21,79.77,80.97,77.8,77.82,6587.0
2020-10-22,78.02,79.52,76.81,78.4,4134.0
2020-10-23,79.56,80.78,75.09,75.4,7998.0
2020-10-26,75.5,78.98,74.01,78.77,5514.0
2020-10-27,78.6,79.24,77.15,78.0,3592.0
2020-10-28,78.0,81.5,77.26,79.0,10998.0
2020-10-29,78.38,81.9,76.31,80.83,10273.0
2020-10-30,80.56,83.75,79.65,80.99,10076.0
2020-11-02,81.55,91.99,80.57,90.06,19994.0
2020-11-03,90.2,95.6,88.81,92.75,17719.0
2020-11-04,92.7,96.6,91.15,95.1,14674.0
2020-11-05,97.53,97.53,93.03,95.09,9194.0
2020-11-06,95.0,99.8,94.5,97.33,9887.0
2020-11-09,97.48,106.32,96.39,106.1,14300.0
2020-11-10,105.99,105.99,101.52,103.98,12730.0
2020-11-11,101.0,102.0,95.12,98.0,23580.0
2020-11-12,98.0,101.3,96.18,98.09,7440.0
2020-11-13,97.9,108.88,97.01,103.72,13336.0
2020-11-16,103.33,107.05,101.0,107.0,11563.0
2020-11-17,107.16,109.0,101.99,102.2,10231.0
2020-11-18,101.3,103.42,98.7,102.18,13164.0
2020-11-19,100.81,104.69,98.32,101.83,7863.0
2020-11-20,100.87,109.94,100.4,106.4,13594.0
2020-11-23,105.36,114.72,102.68,113.5,15109.0
2020-11-24,111.0,113.13,106.0,106.2,12446.0
2020-11-25,105.2,106.96,102.21,103.0,6968.0
2020-11-26,104.6,106.5,99.5,100.58,8636.0
2020-11-27,101.88,104.86,100.18,102.94,6731.0
2020-11-30,102.01,106.35,100.27,104.6,8184.0
2020-12-01,102.63,116.31,102.63,114.95,14879.0
2020-12-02,114.0,120.0,110.45,112.61,10797.0
2020-12-03,115.0,115.97,110.18,113.66,6982.0
2020-12-04,113.12,119.99,111.28,116.75,8368.0
2020-12-07,116.59,121.59,115.0,120.0,9588.0
2020-12-08,119.13,122.5,118.02,119.8,6790.0
2020-12-09,121.2,121.2,114.56,115.01,6441.0
2020-12-10,114.0,123.38,111.99,120.5,9211.0
2020-12-11,121.42,129.8,118.35,120.5,14535.0
2020-12-14,122.15,129.8,118.0,128.78,9089.0
2020-12-15,126.54,133.77,125.01,128.2,6416.0
2020-12-16,130.0,130.61,124.12,127.44,6083.0
2020-12-17,125.01,136.0,124.31,134.18,9560.0
2020-12-18,135.87,145.0,134.21,143.87,14380.0
2020-12-21,142.53,150.88,139.58,147.5,9606.0
2020-12-22,146.19,156.98,146.19,153.23,11764.0
2020-12-23,151.17,155.75,146.0,153.23,9646.0
2020-12-24,151.67,153.99,139.58,142.47,11782.0
2020-12-25,142.55,153.58,139.82,150.0,9979.0
2020-12-28,149.0,149.01,137.0,143.11,11772.0
2020-12-29,141.48,142.03,131.64,135.14,12822.0
2020-12-30,136.79,142.94,132.54,138.52,9820.0
2020-12-31,140.46,147.87,135.0,146.5,13030.0
2021-01-04,145.71,156.0,141.9,152.43,12454.0
2021-01-05,150.89,153.35,142.06,150.01,10009.0
2021-01-06,152.5,153.0,144.97,147.55,8353.0
2021-01-07,142.3,150.79,140.7,147.84,10306.0
2021-01-08,143.53,145.83,121.6,127.4,23127.0
2021-01-11,126.0,134.44,118.0,128.1,12846.0
2021-01-12,129.8,135.45,127.28,133.1,10389.0
2021-01-13,130.26,132.84,124.54,130.47,8772.0
2021-01-14,129.17,140.59,128.09,136.62,8783.0
2021-01-15,135.8,138.21,127.03,130.25,6476.0
2021-01-18,130.09,136.8,126.54,135.6,5463.0
2021-01-19,136.8,158.99,134.13,157.2,14484.0
2021-01-20,154.1,170.52,153.0,167.39,10150.0
2021-01-21,167.88,178.7,160.0,168.0,11365.0
2021-01-22,167.04,169.01,160.88,166.62,6769.0
2021-01-25,167.23,169.04,155.94,158.5,8430.0
2021-01-26,155.0,159.29,143.0,147.14,15695.0
2021-01-27,149.45,153.0,145.94,149.5,9679.0
2021-01-28,148.11,152.0,143.0,143.22,6335.0
2021-01-29,142.43,147.95,131.34,141.02,12926.0
2021-02-01,138.48,142.0,134.33,138.29,7463.0
2021-02-02,140.61,150.44,138.48,145.87,7628.0
2021-02-03,145.87,155.0,140.0,152.99,9289.0
2021-02-04,152.98,152.98,136.94,139.07,10609.0
2021-02-05,138.0,142.9,133.08,133.49,6329.0
2021-02-08,132.62,140.28,126.34,136.47,6313.0
2021-02-09,134.92,148.5,133.97,144.6,8518.0
2021-02-10,145.14,145.85,136.01,140.31,5034.0
2021-02-18,141.0,150.0,138.28,144.12,8692.0
2021-02-19,141.79,144.5,127.72,134.23,8694.0
2021-02-22,130.69,146.13,125.58,126.73,15626.0
2021-02-23,125.19,133.38,124.0,129.0,9222.0
2021-02-24,129.0,130.92,110.12,114.8,17481.0
2021-02-25,115.0,116.08,107.94,108.7,10137.0
2021-02-26,106.01,130.0,100.65,129.1,34460.0
2021-03-01,122.88,122.88,103.28,106.09,32910.0
2021-03-02,105.5,107.49,102.01,104.43,16224.0
2021-03-03,101.83,108.88,101.83,107.19,10809.0
2021-03-04,107.11,109.8,102.6,104.22,8174.0
2021-03-05,103.52,105.26,101.22,103.04,6844.0
2021-03-08,104.36,104.77,89.01,89.4,15007.0
2021-03-09,89.73,93.0,86.0,87.87,17273.0
2021-03-10,88.05,93.37,88.05,91.25,8195.0
2021-03-11,91.5,95.0,88.0,94.43,6317.0
2021-03-12,96.0,96.92,92.22,94.88,10494.0
2021-03-15,93.89,97.97,91.5,94.82,7671.0
2021-03-16,94.0,96.1,89.2,90.0,8608.0
2021-03-17,90.0,94.6,88.34,94.3,6806.0
2021-03-18,94.49,101.88,93.41,100.2,11686.0
2021-03-19,98.9,107.94,97.01,104.72,11704.0
2021-03-22,106.65,112.93,105.0,109.09,9079.0
2021-03-23,111.41,111.99,106.07,110.38,5361.0
2021-03-24,108.01,111.5,107.1,109.03,3028.0
2021-03-25,111.1,111.11,99.0,101.79,9977.0
2021-03-26,102.95,103.65,93.2,100.17,15688.0
2021-03-29,101.43,102.77,97.02,99.45,7368.0
2021-03-30,99.17,106.66,96.25,103.53,10920.0
2021-03-31,102.99,103.07,96.66,97.8,9986.0
2021-04-01,98.6,102.66,98.0,99.0,8716.0
2021-04-02,100.48,104.86,99.15,103.27,7033.0
2021-04-06,103.29,103.34,100.01,101.09,6074.0
2021-04-07,100.0,103.21,99.33,102.0,3956.0
2021-04-08,100.82,102.8,99.0,99.91,4880.0
2021-04-09,99.92,101.4,96.3,99.0,5600.0
2021-04-12,98.02,100.68,94.64,97.04,5084.0
2021-04-13,95.01,96.5,93.52,94.5,3233.0
2021-04-14,94.99,96.65,92.5,93.75,4695.0
2021-04-15,93.11,97.52,92.53,96.99,5810.0
2021-04-16,97.7,101.78,95.25,99.98,5457.0
2021-04-19,101.99,113.0,101.99,111.39,11369.0
2021-04-20,114.0,115.19,108.25,111.41,6410.0
2021-04-21,111.41,117.49,110.71,115.32,7678.0
2021-04-22,116.0,118.8,112.71,115.3,5971.0
2021-04-23,115.25,124.96,114.02,124.4,9869.0
2021-04-26,124.39,132.88,122.37,125.54,9178.0
2021-04-27,127.0,129.0,122.52,126.93,6862.0
2021-04-28,127.3,137.5,125.1,135.48,11031.0
2021-04-29,135.5,139.98,134.0,137.0,6336.0
2021-04-30,137.0,138.86,131.8,133.3,6336.0
2021-05-06,132.3,140.58,132.0,136.68,7599.0
2021-05-07,137.0,139.8,128.09,128.36,7993.0
2021-05-10,128.0,133.15,126.4,130.6,4153.0
2021-05-11,128.0,130.37,123.55,127.94,4681.0
2021-05-12,125.66,133.0,124.96,130.5,4377.0
2021-05-13,129.99,134.59,127.6,128.98,5271.0
2021-05-14,128.77,133.6,124.44,127.7,5543.0
2021-05-17,127.25,138.5,126.51,134.4,7608.0
2021-05-18,134.4,137.88,131.36,134.44,4363.0
2021-05-19,133.3,137.0,131.16,132.72,5513.0
2021-05-20,129.75,134.29,129.0,131.13,5218.0
2021-05-21,132.6,140.22,131.65,137.72,9573.0
2021-05-24,136.79,138.53,134.08,137.16,6619.0
2021-05-25,137.95,143.77,135.52,143.2,8706.0
2021-05-26,142.2,143.26,139.11,140.77,5112.0
2021-05-27,140.54,149.28,138.0,141.61,6323.0
2021-05-28,141.58,147.64,141.16,145.8,5795.0
2021-05-31,146.2,154.3,144.0,152.02,7499.0
2021-06-01,149.9,155.0,148.61,151.99,7075.0
2021-06-02,152.6,152.6,134.74,135.49,13089.0
2021-06-03,138.5,140.79,132.64,136.73,7201.0
2021-06-04,136.0,137.76,133.2,134.78,5084.0
2021-06-07,133.8,134.48,125.35,131.7,7262.0
2021-06-08,131.56,134.88,129.26,132.92,4518.0
2021-06-09,131.13,133.48,129.95,130.95,3755.0
2021-06-10,131.4,135.25,130.0,132.47,5814.0
2021-06-11,133.99,133.99,123.0,124.5,8880.0
2021-06-15,122.99,129.96,121.58,129.21,5978.0
2021-06-16,128.0,131.5,124.07,124.66,4181.0
2021-06-17,125.29,131.5,123.02,130.52,4386.0
2021-06-18,131.99,138.5,130.44,136.65,10016.0
2021-06-21,135.65,141.0,135.65,139.85,5902.0
2021-06-22,140.6,143.2,136.0,137.7,7550.0
2021-06-23,137.0,140.38,133.69,137.9,5235.0
2021-06-24,136.03,138.12,132.08,133.0,4389.0
2021-06-25,134.98,138.79,127.53,137.9,6526.0
